_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_status,_top_subject,_type
2,2015-01-24 00:03:00,"To amend title XVIII of the Social Security Act to repeal the Medicare sustainable growth rate and strengthen Medicare access by improving physician payments and making other improvements, to reauthorize the Children's Health Insurance Program, and for other purposes.",True,True,114,Medicare Access and CHIP Reauthorization Act of 2015,ENACTED:SIGNED,Health,hr
3,2015-01-06 00:01:00,To approve the Keystone XL Pipeline.,True,False,114,Keystone XL Pipeline Act,PASS_OVER:HOUSE,Energy,hr
5,2015-01-03 00:02:00,"To support State and local accountability for public education, protect State and local authority, inform parents of the performance of their children's schools, and for other purposes.",True,False,114,Student Success Act,PASS_OVER:HOUSE,Education,hr
6,2015-01-19 00:05:00,"To accelerate the discovery, development, and delivery of 21st century cures, and for other purposes.",True,False,114,21st Century Cures Act,PASS_OVER:HOUSE,Health,hr
7,2015-01-21 00:01:00,To prohibit taxpayer funded abortions.,True,False,114,No Taxpayer Funding for Abortion and Abortion Insurance Full Disclosure Act of 2015,PASS_OVER:HOUSE,"Civil rights and liberties, minority issues",hr
8,2015-01-16 00:09:00,"To modernize energy infrastructure, build a 21st century energy and manufacturing workforce, bolster America's energy security and diplomacy, and promote energy efficiency and government accountability, and for other purposes.",True,False,114,North American Energy Security and Infrastructure Act of 2015,PASS_OVER:HOUSE,Energy,hr
9,2015-01-05 00:02:00,"To amend title 35, United States Code, and the Leahy-Smith America Invents Act to make improvements and technical corrections, and for other purposes.",False,False,114,Innovation Act,REPORTED,Commerce,hr
10,2015-01-05 00:10:00,"To reauthorize the Scholarships for Opportunity and Results Act, and for other purposes.",True,False,114,Scholarships for Opportunity and Results Reauthorization Act,PASS_OVER:HOUSE,Education,hr
12,2015-01-19 00:03:00,"To modernize voter registration, promote access to voting for individuals with disabilities, protect the ability of individuals to exercise the right to vote in elections for Federal office, and for other purposes.",False,False,114,Voter Empowerment Act of 2015,REFERRED,Government operations and politics,hr
20,2015-01-21 00:01:00,"To reform the financing of Congressional elections by broadening participation by small dollar donors, and for other purposes.",False,False,114,Government By the People Act of 2015,REFERRED,Government operations and politics,hr
21,2015-01-06 00:01:00,"To provide for a comprehensive assessment of the scientific and technical research on the implications of the use of mid-level ethanol blends, and for other purposes.",False,False,114,,REFERRED,Energy,hr
22,2015-01-06 00:01:00,"An act to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",True,True,114,Driver Privacy Act of 2015,ENACTED:SIGNED,Transportation and public works,hr
23,2015-01-06 00:01:00,"To reauthorize the National Windstorm Impact Reduction Program, and for other purposes.",True,True,114,National Windstorm Impact Reduction Act Reauthorization of 2015,ENACTED:SIGNED,Emergency management,hr
24,2015-01-06 00:01:00,"To require a full audit of the Board of Governors of the Federal Reserve System and the Federal reserve banks by the Comptroller General of the United States, and for other purposes.",False,False,114,Federal Reserve Transparency Act of 2015,REPORTED,Finance and financial sector,hr
25,2015-01-06 00:01:00,"To promote freedom, fairness, and economic opportunity by repealing the income tax and other taxes, abolishing the Internal Revenue Service, and enacting a national sales tax to be administered primarily by the States.",False,False,114,FairTax Act of 2015,REFERRED,Taxation,hr
26,2015-01-06 00:01:00,"To extend the termination date of the Terrorism Insurance Program established under the Terrorism Risk Insurance Act of 2002, and for other purposes.",True,True,114,Terrorism Risk Insurance Program Reauthorization Act of 2015,ENACTED:SIGNED,Finance and financial sector,hr
27,2015-01-06 00:01:00,To terminate the Internal Revenue Code of 1986.,False,False,114,Tax Code Termination Act,REFERRED,Taxation,hr
28,2015-01-06 00:01:00,To approve the Keystone XL pipeline project permit.,False,False,114,Keystone For a Secure Tomorrow Act,REFERRED,Energy,hr
29,2015-01-06 00:01:00,To prohibit the use of funds for granting deferred action or other immigration relief to aliens not lawfully present in the United States.,False,False,114,Separation of Powers Act of 2015,REFERRED,Immigration,hr
30,2015-01-06 00:01:00,To amend the Internal Revenue Code of 1986 to repeal the 30-hour threshold for classification as a full-time employee for purposes of the employer mandate in the Patient Protection and Affordable Care Act and replace it with 40 hours.,True,False,114,Save American Workers Act of 2015,PASS_OVER:HOUSE,Taxation,hr
31,2015-01-06 00:01:00,"To prohibit the use of funds to implement the immigration policies set forth in the memoranda issued by the Secretary of Homeland Security on November 20, 2014, or the memoranda issued by the President on November 21, 2014, and for other purposes.",False,False,114,Prevention of Executive Amnesty Act of 2015,REFERRED,Immigration,hr
32,2015-01-06 00:01:00,"To amend the Immigration and Nationality Act to expand the definition of an unauthorized alien to include aliens who have not been admitted to and are not lawfully present in the United States, and for other purposes.",False,False,114,Defense of Legal Workers Act of 2015,REFERRED,Immigration,hr
33,2015-01-06 00:01:00,To amend the Internal Revenue Code of 1986 to ensure that emergency services volunteers are not taken into account as employees under the shared responsibility requirements contained in the Patient Protection and Affordable Care Act.,True,True,114,Protecting Volunteer Firefighters and Emergency Responders Act,ENACTED:SIGNED,Emergency management,hr
34,2015-01-06 00:01:00,"To accelerate the discovery, development, and delivery of 21st century cures, and for other purposes.",True,True,114,21st Century Cures Act,ENACTED:SIGNED,Health,hr
35,2015-01-06 00:01:00,To increase the understanding of the health effects of low doses of ionizing radiation.,True,False,114,Low-Dose Radiation Research Act of 2015,PASS_OVER:HOUSE,Health,hr
36,2015-01-06 00:01:00,"To amend title 18, United States Code, to protect pain-capable unborn children, and for other purposes.",True,False,114,Pain-Capable Unborn Child Protection Act,PROV_KILL:CLOTUREFAILED,Crime and law enforcement,hr
37,2015-01-06 00:01:00,"To make technical corrections to the Dodd-Frank Wall Street Reform and Consumer Protection Act, to enhance the ability of small and emerging growth companies to access capital through public and private markets, to reduce regulatory burdens, and for other purposes.",True,False,114,Promoting Job Creation and Reducing Small Business Burdens Act,PASS_OVER:HOUSE,Finance and financial sector,hr
38,2015-01-06 00:01:00,"To prohibit the executive branch from exempting from removal categories of aliens considered under the immigration laws to be unlawfully present in the United States, and for other purposes.",False,False,114,Preventing Executive Overreach on Immigration Act of 2015,REFERRED,Immigration,hr
39,2015-01-06 00:01:00,"To make 1 percent across-the-board rescissions in non-defense, non-homeland-security, and non-veterans-affairs discretionary spending for each of the fiscal years 2015 and 2016.",False,False,114,,REFERRED,Economics and public finance,hr
40,2015-01-06 00:01:00,"To acknowledge the fundamental injustice, cruelty, brutality, and inhumanity of slavery in the United States and the 13 American colonies between 1619 and 1865 and to establish a commission to examine the institution of slavery, subsequently de jure and de facto racial and economic discrimination against African-Americans, and the impact of these forces on living African-Americans, to make recommendations to the Congress on appropriate remedies, and for other purposes.",False,False,114,Commission to Study Reparation Proposals for African-Americans Act,REFERRED,"Civil rights and liberties, minority issues",hr
41,2015-01-06 00:01:00,"To enhance Federal enforcement of hate crimes, and for other purposes.",False,False,114,David Ray Hate Crimes Prevention Act of 2015,REFERRED,Crime and law enforcement,hr
42,2015-01-06 00:01:00,"To amend title XVIII of the Social Security Act to require hospitals reimbursed under the Medicare system to establish and implement security procedures to reduce the likelihood of infant patient abduction and baby switching, including procedures for identifying all infant patients in the hospital in a manner that ensures that it will be evident if infants are missing from the hospital.",False,False,114,Infant Protection and Baby Switching Prevention Act of 2015,REFERRED,Health,hr
43,2015-01-06 00:01:00,"To provide for emergency deployments of United States Border Patrol agents and to increase the number of DEA and ATF agents along the international border of the United States to increase resources to identify and eliminate illicit sources of firearms into Mexico for use by violent drug trafficking organizations and for other lawful activities, and for other purposes.",False,False,114,"Border Security, Cooperation, and Act Now Drug War Prevention Act of 2015",REFERRED,Immigration,hr
44,2015-01-06 00:01:00,To implement the recommendations of the Guam War Claims Review Commission.,False,False,114,Guam World War II Loyalty Recognition Act,REFERRED,Law,hr
45,2015-01-06 00:01:00,"To provide for research and education with respect to triple-negative breast cancer, and for other purposes.",False,False,114,Triple-Negative Breast Cancer Research and Education Act of 2015,REFERRED,Health,hr
46,2015-01-06 00:01:00,"To increase the evidentiary standard required to convict a person for a drug offense, to require screening of law enforcement officers or others acting under color of law participating in drug task forces, and for other purposes.",False,False,114,No More Tulias: Drug Law Enforcement Evidentiary Standards Improvement Act of 2015,REFERRED,Crime and law enforcement,hr
47,2015-01-06 00:01:00,To ensure secure gun storage and gun safety devices.,False,False,114,,REFERRED,Crime and law enforcement,hr
48,2015-01-06 00:01:00,"To require a review of the completeness of the Terrorist Screening Database (TSDB) maintained by the Federal Bureau of Investigation and the derivative terrorist watchlist utilized by the Transportation Security Administration, and for other purposes.",False,False,114,No Fly for Foreign Fighters Act,REFERRED,Immigration,hr
49,2015-01-06 00:01:00,"To make 2 percent across-the-board rescissions in non-defense, non-homeland-security, and non-veterans-affairs discretionary spending for each of the fiscal years 2015 and 2016.",False,False,114,,REFERRED,Economics and public finance,hr
50,2015-01-06 00:01:00,"To provide for additional safeguards with respect to imposing Federal mandates, and for other purposes.",True,False,114,Unfunded Mandates Information and Transparency Act of 2015,PASS_OVER:HOUSE,Government operations and politics,hr
51,2015-01-06 00:01:00,"To provide for the collection of data on traffic stops, and for other purposes.",False,False,114,Traffic Stops Along the Border Statistics Study Act of 2015,REFERRED,Crime and law enforcement,hr
52,2015-01-06 00:01:00,"To amend the Immigration and Nationality Act to comprehensively reform immigration law, and for other purposes.",False,False,114,Save America Comprehensive Immigration Act of 2015,REFERRED,Immigration,hr
53,2015-01-06 00:01:00,"To codify an office within the Department of Homeland Security with the mission of strengthening the capacity of the agency to attract and retain highly trained computer and information security professionals, and for other purposes.",False,False,114,Cyber Security Education and Federal Workforce Enhancement Act,REFERRED,Emergency management,hr
54,2015-01-06 00:01:00,To enhance the security of chemical facilities and for other purposes.,False,False,114,Frank Lautenberg Memorial Secure Chemical Facilities Act,REFERRED,Emergency management,hr
55,2015-01-06 00:01:00,"To require the Director of National Intelligence to conduct a study on the use of contractors for intelligence activities, and for other purposes.",False,False,114,RAINC Act,REFERRED,Armed forces and national security,hr
56,2015-01-06 00:01:00,"To impose sanctions against persons who knowingly provide material support or resources to the Donbass People's Militia or its affiliates, associated groups, or agents, and for other purposes.",False,False,114,Donbass People's Militia Terrorist Designation Act of 2015,REFERRED,International affairs,hr
57,2015-01-06 00:01:00,"To require that activities carried out by the United States in South Sudan relating to governance, reconstruction and development, and refugee relief and assistance will support the basic human rights of women and women's participation and leadership in these areas.",False,False,114,Equal Rights and Access for the Women of South Sudan Act,REFERRED,International affairs,hr
58,2015-01-06 00:01:00,"To make 5 percent across-the-board rescissions in non-defense, non-homeland-security, and non-veterans-affairs discretionary spending for each of the fiscal years 2015 and 2016.",False,False,114,,REFERRED,Economics and public finance,hr
59,2015-01-06 00:01:00,"To provide for a reduction in the amount that may be awarded to a unit of local government under subpart 1 of part E of title I of the Omnibus Crime Control and Safe Streets Act of 1968 (42 U.S.C. 3750 et seq.) for a unit of local government that funds an amount that is greater than 18 percent of its operating budget using revenue generated from collecting fines and other fees related to violations of traffic laws, and for other purposes.",False,False,114,Build TRUST Act of 2015,REFERRED,Crime and law enforcement,hr
60,2015-01-06 00:01:00,To require the Director of National Intelligence to conduct a study on the feasibility of establishing a Cyber Defense National Guard.,False,False,114,Cyber Defense National Guard Act,REFERRED,Armed forces and national security,hr
61,2015-01-06 00:01:00,To preserve the access of victims of trafficking to information about their eligibility to receive SNAP benefits.,False,False,114,Securing the Assistance of Victims of Exploitation Act of 2015 (SAVE Act),REFERRED,Agriculture and food,hr
